path,size_bytes,size_kb,mtime_iso
uploads/3d logo ohne bg.png,1285865,1255.7,2025-07-06T16:32:25.384Z
uploads/Baustelle mit HB Logo und Mauern.png,2931803,2863.1,2025-07-06T16:32:25.397Z
